Player,Position,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,Rnd,Pick,Tm,Draft_Position,Age,year,Ht_m,Wt_kg,BMI,Position_Performance_Index
Kwame Cavil,WR,Texas,6.2,208.0,4.54,39.5,14.0,118.0,6.975,4.22,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.88976,94.347136,26.418941726772342,173.23499999999999
Chris Chaloupka,QB,SMU,6.2,216.0,4.96,31.0,19.5,111.0,7.13,4.33,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.88976,97.975872,27.435054870109738,158.42000000000002
Doug Chapman,RB,Marshall,5.1,215.0,4.56,38.5,16.0,128.0,6.84,4.2,1,3.0,88.0,MIN,RB,23.0,2000,1.5544799999999999,97.52228,40.358365457642535,198.1
Ike Charlton,CB,Virginia Tech,5.11,205.0,4.47,36.0,16.0,126.0,6.94,4.16,1,2.0,52.0,SEA,DB,22.0,2000,1.5575280000000002,92.98636,38.33076807364861,177.57
Chrys Chukwuma,RB,Arkansas,6.1,232.0,4.56,34.0,19.0,115.0,7.07,4.26,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.85928,105.233344,30.44134070590695,183.89
Joey Chustz,OT,Louisiana Tech,6.7,304.0,5.08,31.0,28.0,103.0,7.65,4.65,1,4.0,123.0,JAX,T,23.0,2000,2.04216,137.891968,33.06430810282476,45.379999999999995
Pedro Cirino,S,Boston Col.,5.11,197.0,4.59,35.5,17.0,120.0,7.01,4.2,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5575280000000002,89.357624,36.83493322199403,171.29999999999998
John Saint Clair,C,Virginia,6.5,302.0,5.2,28.0,25.0,102.0,7.675,4.63,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9812,136.984784,34.89921759593683,172.505
Kendrick Clancy,DT,Mississippi,6.1,283.0,5.25,27.5,25.0,108.0,7.98,4.65,1,3.0,72.0,PIT,DT,21.0,2000,1.85928,128.366536,37.133187154188214,178.38
Travis Claridge,OG,USC,6.5,303.0,5.15,31.5,29.0,100.0,7.77,4.86,1,2.0,37.0,ATL,G,22.0,2000,1.9812,137.438376,35.01477791910219,178.28000000000003
Danny Clark,ILB,Illinois,6.2,245.0,4.75,33.0,20.0,115.0,7.19,4.3,1,7.0,245.0,JAX,LB,23.0,2000,1.88976,111.13004,31.1184650147078,184.24
Chad Clifton,OT,Tennessee,6.5,334.0,5.05,30.5,24.0,102.0,7.58,4.73,1,2.0,44.0,GNB,T,24.0,2000,1.9812,151.499728,38.59714793722815,41.36
Chris Cole,WR,Texas A&M,6.0,191.0,4.37,37.5,14.0,125.0,6.76,4.09,1,3.0,70.0,DEN,WR,22.0,2000,1.8288000000000002,86.636072,25.903969940655923,177.72
Chris Coleman,WR,North Carolina State,6.0,211.0,4.61,32.5,14.0,110.0,6.79,4.1,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.8288000000000002,95.707912,28.61642752606492,158.0
Cosey Coleman,OG,Tennessee,6.4,322.0,5.4,28.0,25.0,101.0,8.15,4.97,1,2.0,51.0,TAM,G,21.0,2000,1.9507200000000002,146.056624,38.38233438728161,172.52
Laveranues Coles,WR,Florida State,5.11,192.0,4.41,34.0,14.0,115.0,6.89,4.39,1,3.0,78.0,NYJ,WR,22.0,2000,1.5575280000000002,87.089664,35.900036439709915,164.68999999999997
Chris Combs,DT,Duke,6.5,286.0,5.16,29.5,22.0,105.0,7.69,4.64,1,6.0,173.0,PIT,DE,23.0,2000,1.9812,129.727312,33.05025242529118,173.98999999999998
Kurth Connell,OT,Washington,6.4,291.0,5.49,33.0,27.0,103.0,8.14,4.84,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9507200000000002,131.995272,34.68714070403401,45.47
Rameel Connor,DE,Illinois,6.3,276.0,5.0,35.5,25.0,121.0,7.65,4.45,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.92024,125.191392,33.951850048656844,198.6
